Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
7/17/2026 22:28:56,39,1st Half,"Miranchuk launches a long ball forward for Brennan.  He's prevented from getting there by Tagseth.
It was a good ball, but Brennan keeps getting bodied off.",156,,,,
7/17/2026 22:31:27,42,1st Half,"Muyumba trying to stay more open, be more of an outlet for passes.  He is directing traffic more than usual.",108,,,,
7/17/2026 22:32:37,43,1st Half,"Báez puts a ball into the box for Almirón.  He's blocked, and can't get the ball out of his feet.  He backs up twice, and takes a weak shot.  It goes back to Muyumba who takes another weak shot.  But Atlanta did get a corner out of the mess.",241,,,,
7/17/2026 22:34:59,45,1st Half,Nashville cross into the box to Surridge.  Hoyos collects but Surridge was lurking closely.,91,,,,
7/17/2026 22:36:13,46,1st Half,"Edwards bulldozes Qasem to the ground with a crunching tackle.  He's late and could have been 🟨.
Nashville free kick just outside the box.",139,,,,
7/17/2026 22:37:13,47,1st Half,"Mukhtar with the free kick - goes into the box, collected by Hoyos",66,,,,
7/17/2026 22:38:07,48,1st Half,Atlanta has been surviving heavy pressure.  Now pressing into Nashville's box.  Cannot get a shot off.,102,,,,
7/17/2026 22:38:42,49,1st Half,"Nashville should have gotten a goal out of this half.  If Atlanta make it 0-0 at the half, they'll be the feeling good about their chances.",139,,,,
7/17/2026 22:39:21,50,1st Half,Brennan now playing much deeper.  He's acting as a midfielder now.  With Sanchez up top.,88,,,,
7/17/2026 22:40:03,,Halftime,stop,4,,,,
7/17/2026 22:40:21,,Halftime,Half ends 0-0.  Atlanta will be the happier of the teams.,57,,,,
7/17/2026 22:41:15,,Halftime,"Player Impressions:
Hoyos:  Nothing disasterous yet
Edwards:  Good going forward, but a few clumsy tackles.  In danger of being the first with a 🟨.
Mihaj: doing well in the back
Jacob: good in the back, getting up occasionally
Muyumba:  providing a good outlet.  Doing well coming back in defense.  
Fortune:  Was showing his normal spark until the injury
Sanchez:  Looking dangerous.  Really coming into his own.  
Reilly:  A depth piece.  Doesn't always show up in the right space, but tries reall hard.
Brennan:  Getting bodied off the ball all too often.  Clearly outmatched.  His progress has leveled off.  Another game where he needs to shine, and he's wilting.  Time to move on.
Almirón:  Trying to be the emotional leader.  Have to wonder how much he'll have in the tank.
Miranchuk:  He was playing deeper as the half went on.  He looked more dangerous when he was higher up the pitch.

I am expecting Latte Lath to come on as a winger at some point.  For either Brennan, or Almirón if he's tired.",1006,,,,
