Timestamp,Minute,Game Phase,Post,Post Size,Team,Players,Weight,Status,Notes
4/4/2026 20:14:30,34,1st Half,ATLUTD are breaking up the Crew's tight marking.  Alzate dribbles through the center and takes a shot.  ,102,,,,,
4/4/2026 20:15:58,35,1st Half,"Alzate sends the ball into the box.  The floater nearly finds ELL, who is taken out from below and lands on top of Stian .  Both stay down.",139,,,,,
4/4/2026 20:16:51,36,1st Half,Stian is collecting a number of fouls today.  His durability is going to be tested.,83,,,,,
4/4/2026 20:17:00,36,1st Half,Mihaj appears calm and collected.,33,,,,,
4/4/2026 20:19:07,39,1st Half,"Crew receive the ball in the box, blocked by Mihaj .  Then Gomes gets a hard shot off towards the corner.  Hoyos dives and collects.  Nice save.",144,,,,,
4/4/2026 20:20:31,40,1st Half,"ATLUTD put togehter about 10 passes to get the ball into a good spot.  Miggy tries a 1 touch shot, goes wide.",109,,,,,
4/4/2026 20:23:10,43,1st Half,Mihaj quickly clears a ball.  He's been sharp tonight.,54,,,,,
4/4/2026 20:24:18,44,1st Half,ATLUTD are packing everyone in during Crew corners.  Ready to concede any clearances to the Crew,96,,,,,
4/4/2026 20:26:37,46,1st Half,Tristan ball into the middle finds Reilly who shoots.  Will is the most aggressive player tonight.,98,,,,,
4/4/2026 20:27:39,,Halftime,end of the half,15,,,,,
4/4/2026 20:31:02,,Halftime,"ATLUTD is trying not to lose.  Want to ensure all passes are completing.  But it's not working, and are getting few series of passes together.",142,,,,,
4/4/2026 20:31:28,,Halftime,The Crew are attempting to play a mixture of keep-away with occasional forward movements.  ,89,,,,,
4/4/2026 20:32:04,,Halftime,"Player impressions.
Hoyos - only interested in safe passes to his CB's.  Avoids long passes.
Tomás gets forward occasionally, but cannot connect.
Gregersen has been sloppy with passes.  Taken a beating.  
Mihaj has been stellar in defence.  Solid.  
Báez has been getting forward.  His passing tends to be safe / backwards.
Muyumba is playing the DM role.  Serviceable, but not great.
Reilly is winning a lot of duels.  I don't think he'll finish the match, but his tenacity is what we want to see.
Alzate has been much better tonight.  Finishing passes, try8ing to get forward.
Almirón - running all over, wants to be involved.  A talliceman.  But is lacking.
Miranchuk is moving from left to right frequently.  Not staying in a set position.  Not doing especially well.
Latte Lath just cannot find good positions to receive the ball.  When he does, the expectation is that he won't get it.",891,,,,,
4/4/2026 20:43:11,,Start 2nd Half,Ball rolling,12,,,,,
4/4/2026 20:43:36,45,2nd Half,ATLUTD pulls the ball all the way back to the keeper.  The crowd goes silent.,77,,,,,
4/4/2026 20:45:00,47,2nd Half,"Herrera gets the ball all the way up, crosses across the box.  Tomás clears it out for a corner",95,,,,,
4/4/2026 20:46:16,48,2nd Half,Crew goal.  Cross comes into the box.  Abou Ali gets a beautiful header past Hoyos.,83,,,,,
4/4/2026 20:47:02,49,2nd Half,He jumped over Gregersen to get the header.,43,,,,,
4/4/2026 20:48:15,50,2nd Half,The Crew have turned it up a notch after the half.,50,,,,,
4/4/2026 20:49:47,52,2nd Half,"ATLUTD trying some longer, riskier, balls now.  Crew dealing with it so far.  ATLUTD will find a way through.",109,,,,,
4/4/2026 20:50:44,53,2nd Half,"Miggy free kick goes inot the box.  Stian tries a low header, and takes out a Crew player.  Awkward header attempt.",115,,,,,
4/4/2026 20:52:01,54,2nd Half,"Crew goal.  A beautiful long shot from outside the box from Abou Ali, to the top right corner.  Well outside of Hoyos' reach.",125,,,,,
4/4/2026 20:54:02,56,2nd Half,ATLUTD preparing 2 subs.  Tata does not like what he sees.,58,,,,,
4/4/2026 20:55:47,58,2nd Half,Columbus high ball over the top is taken down nicely.  Shot goes over.  ,70,,,,,
4/4/2026 20:56:13,58,2nd Half,"ATLUTD subs
off:  Tristan, Reilly
on:  Sanchez, Fortune",55,,,,,
