Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes
4/19/2026 12:46:18,41,1st Half,Miranchuk cross find ELL.  He taps it forward and loses the chance.,67,,ELL's first touch is pretty bad tonight,,,
4/19/2026 12:46:44,41,1st Half,"Nashville gets a ball over the top to Mukhtar.  He's 1-1 with the keeper, and Hoyos blocks it wide.  Nashville's best chance of the night.",138,,,yes,,
4/19/2026 12:47:11,42,1st Half,Muyumba takes down Madrigal to break up a play,46,,,,,
4/19/2026 12:48:52,43,1st Half,Mukhtar takes the free kick from the foul - he goes for goal.  Hoyos knocks it out.  Think it was going wide.,109,,,,,
4/19/2026 12:50:12,45,1st Half,"Nashville pushing hard, want a goal before the half.  ATLUTD dealing with the pressure",86,,,yes,,
4/19/2026 12:50:48,45,1st Half,"Galarza to ELL, who dribbles into several Nashville players.",60,,ELL's decision making in question,,,
4/19/2026 12:51:06,46,1st Half,3' stoppage,11,,,,,
4/19/2026 12:51:26,46,1st Half,Muyumba trips Mukhtar.  gets a 🟨,33,,,,,
4/19/2026 12:53:51,48,1st Half,"ATLUTD elect to keep the ball along the back line for the past minute, to ensure the half ends 0-0",98,,,,,
4/19/2026 12:53:56,48,Halftime,halftime,8,,,,,
4/19/2026 12:54:35,,Halftime,"player impressions
Hoyos:  good distribution, good shot stopping.  having a good game
Báez - well enough.  trouble connecting passes.  handling the pressure on that side.
Mihaj - the controller along the back line.  Steady.
Gregersen - pushes higher than Mihaj.  Plays a bit riskier.   
Tomás - good both defensively and offensively.  Trying long balls and usually putting them in good spots
Muyumba - best game of the year so far
Fortune - he's finding his good form from last year.  Looks dangerous.  He'll probably tire before too long.
Sanchez - doing well when blocking the ball.  Stays on the left, being caught out based on his position a few times
Galarza - staying wide left.  players knows where he's at.  having a quiet game
Miranchuk - overlaps with Fortune and Tomás often.  Great work on the ball.  Looks dangerous
ELL - plays too deep, and his first touch is that of a player who hasn't played in 9 months",920,,,,,
4/19/2026 13:02:05,,Halftime,If ATLUTD were to make a sub - it should be for ELL,51,,I'm calling for an ELL sub at half,,,
4/19/2026 13:08:48,,Halftime,No changes at the half,22,,,,,
4/19/2026 13:08:52,,Start 2nd Half,ball is rolling,15,,,,,
4/19/2026 13:09:25,46,2nd Half,"Miranchuk with a cross into the box, but not good enough",56,,,,,
4/19/2026 13:09:44,46,2nd Half,Sanchez tracks back to recover the ball from Espinoza,53,,,,,
4/19/2026 13:10:15,46,2nd Half,"Fortune along the end line, crosses across the 6.  No one there",63,,,,,
4/19/2026 13:10:24,47,2nd Half,Galarza shoots to goal.  Collected,34,,,,,
4/19/2026 13:10:47,47,2nd Half,Tomás and Lovitz collide.  Tomás calling repeatedly for medical staff,69,,"this was the end of Jacob's night.  He returned, but played at 70%.  It looked like Tata was prepping 2 subs - Togashi and Hernandez.  But it was called off.  Togashi stayed at the bench, ready to come on.",yes,,
4/19/2026 13:11:10,47,2nd Half,Jacobs yelling in pain.  doesn't look good at all,49,,,,,
4/19/2026 13:12:21,48,2nd Half,"Jacob on his feet, barely.",27,,,,,
4/19/2026 13:13:11,49,2nd Half,Fortune pulling back to cover for Jacob while he's off.,55,,,,,
4/19/2026 13:13:45,50,2nd Half,Nashville passing into the box - Gregersen clears.,50,,,,,
4/19/2026 13:13:52,50,2nd Half,Gregersen clears,16,,,,,
4/19/2026 13:14:01,50,2nd Half,Jacob finally re-enters the match,33,,,,,
4/19/2026 13:14:43,51,2nd Half,Báez takes down Mukhtar cleanly,31,,,,,
4/19/2026 13:14:51,51,2nd Half,Mukhtar with a shot from outside the box.  well wide.,53,,,,,
4/19/2026 13:16:39,53,2nd Half,Nashville in the box.  Atlanta blocking all over.,49,,Nashville have turned up the pressure.  ATLUTD haven't.,,,
4/19/2026 13:17:53,54,2nd Half,Mukhtar and Mihaj duel it out. Goes out for a corner,52,,,,,
4/19/2026 13:19:42,56,2nd Half,"Madrigal went down, coming off.  Nashville making a sub.  
LeFlore coming on",76,,,,,
4/19/2026 13:20:39,57,2nd Half,"Ball over the top to Fortune.  Shoots, and blocked.  Where was ELL?",67,,"Not sure why Fortune was the player most forward, the most ready to receive a cross.",yes,,
4/19/2026 13:20:58,57,2nd Half,Tomás takes down LeFlore.  He looks to have recovered,53,,,,,
4/19/2026 13:21:03,57,2nd Half,The game has gotten chippy,26,,,yes,,
4/19/2026 13:24:03,60,2nd Half,"ELL taken down - looked like a dive to me.  Well outside the 18, so not sure the point",86,,,yes,,
4/19/2026 13:24:22,61,2nd Half,"Báez was open, but too slow and lost the ball",45,,,,,
4/19/2026 13:24:48,61,2nd Half,"ELL loses the ball in midfield.  Nashville passes all the way into the box, Espinoza scores to far post.  1-0 to Nashville",122,,,yes,,
4/19/2026 13:25:14,61,2nd Half,That goal was a direct result of ELL being out of position being stripped of the ball,85,,,yes,,
4/19/2026 13:26:47,63,2nd Half,Nashville beautiful long ball finds Mukhtar behind the back line.  Atlanta lucky it's not 2-0,93,,,yes,,
4/19/2026 13:27:26,64,2nd Half,Espinoza gets around Mihaj.  Nashville nearly score again.  ATLUTD falling apart,80,,ATLUTD fall apart after being scored on,yes,,
4/19/2026 13:28:41,65,2nd Half,both teams prepping a sub,25,,,,,
4/19/2026 13:29:05,65,2nd Half,"Muyumba long ball to Galarza, ball too far",42,,long balls are not connecting,,,
4/19/2026 13:29:24,66,2nd Half,"Nashville sub:
Yazbek on, Tagseth off",37,,,,,
4/19/2026 13:30:29,67,2nd Half,Sanchez gets the ball into the box.,35,,,,,
4/19/2026 13:30:39,67,2nd Half,"ATLUTD subs:
on:  Amador, Picault 
off: Báez, Sanchez",53,,,,,
4/19/2026 13:31:51,68,2nd Half,Nashville shot from the left.  Hoyos drops to collect,53,,,,,
4/19/2026 13:32:11,68,2nd Half,"Picault taking the left wing, Galarza moves central",51,,Galarza moving to his natural position,,,
4/19/2026 13:33:54,70,2nd Half,ELL heads the ball forward for Miranchuk.  He's knocked off the ball during a run,81,,,,,
4/19/2026 13:35:05,71,2nd Half,"Galarza tries a shot, blocked right in front of him",51,,,,,
4/19/2026 13:35:38,72,2nd Half,ELL jogging for a while.  Not involved in the game,50,,What does Tata see to keep ELL on the pitch?,yes,,
4/19/2026 13:36:30,73,2nd Half,Atlanta prepping 2 subs,23,,,,,
4/19/2026 13:37:12,73,2nd Half,Mihaj rushes to midfield twice in sequential plays to strip a Nashville player of the ball,90,,,yes,,
4/19/2026 13:37:29,74,2nd Half,Nashville get behind the backline.  Hoyos clears,48,,,,,
4/19/2026 13:37:46,74,2nd Half,"ATLUTD sub:
on: Saba, 
off: Fortune",35,,,,,
4/19/2026 13:38:17,74,2nd Half,Galarza taken down easily,25,,,,,
4/19/2026 13:39:25,76,2nd Half,Najar long ball finds Mukhtar.  Hoyos runs outside the box.  He ends up pushing over Espinoza.  Hoyos sees 🟨,109,,"Hoyos commmitted to blocking the ball, and had to continue.  Anyone else should have.",yes,,
4/19/2026 13:40:22,77,2nd Half,"Nashville shoots from outside the box, just wide",48,,,,,
4/19/2026 13:41:26,78,2nd Half,"Nashville bad backpass, ELL finds it - passes central.  Miranchuk shoots and caught.",84,,,,,
4/19/2026 13:41:36,78,2nd Half,Miranchuk goes down after the play.  Elbow to the face,54,,,,,
4/19/2026 13:42:38,79,2nd Half,"Picault shoots from distance, wide",34,,,,,
4/19/2026 13:43:47,80,2nd Half,"Picault to Galarza, tries to find a surging Amador.",51,,,,,
4/19/2026 13:44:15,80,2nd Half,"Nashville 3-on-3, someone is called off.  Ball was going in",59,,,,,
4/19/2026 13:44:50,81,2nd Half,Atlanta prepping a sub.  Same one from earlier,46,,,,,
4/19/2026 13:45:01,81,2nd Half,"ATLUTD sub:
on: Togashi
off: Latte Lath",39,,,,,
4/19/2026 13:47:06,83,2nd Half,"Nashville subs:
on: Baker-Whiting, Mohammed
off: Nájar, Qasem",61,,,,,
4/19/2026 13:48:55,85,2nd Half,2nd half has been all Nashville,31,,,,,
4/19/2026 13:49:52,86,2nd Half,Togashi pressing the backline and keeper - forces the ball to go out for a throwin,78,,,,,
4/19/2026 13:50:55,87,2nd Half,Muyumba gets the ball into the box.  It's blocked,49,,,,,
4/19/2026 13:51:07,87,2nd Half,Saba dribbles the ball into the box.  Out for a corner,54,,Saba running but not passing,,,
4/19/2026 13:53:13,89,2nd Half,Saba streaming up the left.  Ends up losing it,46,,,,,
4/19/2026 13:53:49,90,2nd Half,Ball over the top to Picault.  Heads it central.  out for a corner,66,,,,,
4/19/2026 13:53:55,90,2nd Half,6' stoppage,11,,,,,
4/19/2026 13:54:47,91,2nd Half,"Nashville breakaway.  Mukhtar passes to Mohammed. Shoots, scores.  Nashville 2-0",80,,,yes,,
4/19/2026 13:55:57,92,2nd Half,That was Mohammed's first MLS goal,34,,,,,
4/19/2026 13:56:31,93,2nd Half,Atlanta get the ball into the box.  scramble - Miranchuk goes down after the play.  Gets up ok.,94,,,,,
4/19/2026 13:56:52,93,2nd Half,"Muyumba shoots, over the bar.",29,,,,,
4/19/2026 13:58:18,94,2nd Half,"Picault  in midfield, to Miranchuk, long ball doesn't find Amador",65,,,,,
4/19/2026 13:59:17,95,2nd Half,"Galarza with a rocket, goes just over",37,,,,,
4/19/2026 14:00:18,96,2nd Half,Nashville break - Mohammed nearly gets a 2nd.  Hoyos gets just enough of the ball to allow Mihaj to clear,105,,,yes,,
4/19/2026 14:00:54,97,Final Whistle,and that's it - Nashville 2-0,29,,,,,
4/19/2026 14:01:20,,Post-Game,Muyumba and Miranchuk complaining/arguing,41,,,,,
4/19/2026 14:01:55,,Post-Game,Atlanta players look frustrated.  going straight down the tunnel,64,,,,,
4/19/2026 14:02:03,,Post-Game,"player impressions
Hoyos - a good 1st hafl.  2nd half - he kept it from being worse, but allowed 2
Tomás - the injury seemed to take it out of him
Mihaj - Steady in the back until he's not.  Wants to do long balls, but they don't find their target
Gregersen - good in the back.  got beaten too much
Báez - ok, not great
Muyumba - Did well in controlling midfield.  one of his better games.  Lost control of the game as it went on
Miranchuk - overall very good game.  creates chances
Fortune - a welcome return to the starting lineup.  You can see his quality over other choices
Sanchez - good in spurts.  then seems to lose focus
Galarza - didn't impact the game
Latte Lath - He was there
Amador - didn't impact change
Picault - had enough time to make an impact but didn't manage it
Saba - made 2 runs.  lost the ball
Togashi - couldn't get to the ball",853,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
