Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes-old
5/9/2026 20:19:28,38,1st Half,"Ball comes across the box - Hoyos stops it.  It bounces forward.  It's a race between him, Berrocal, and LA to get to the ball first.",133,,,yes,,
5/9/2026 20:21:25,40,1st Half,"Miranchuk breaks up a play in midfield.  He, Sanchez, ELL go up on a 3-on-3.  ELL can't get past his man.",105,,,yes,,
5/9/2026 20:21:32,40,1st Half,ATLUTD corner,13,,,,,
5/9/2026 20:21:36,40,1st Half,ATLUTD goal.  1-0.  Berrocal with a backdoor header.,52,,need to see film,yes,,
5/9/2026 20:22:23,41,1st Half,There is immediate question  - it looks offsides.,49,,Immediate confusion.  stadium announcer delays his call.  ,,,
5/9/2026 20:22:50,42,1st Half,"It has been ruled offsides.  No, Galarza was offsides, and blocking the keeper.",79,,GK should have done much better in reading hte flight of hte ball.  But was impacted by Galarza,yes,,
5/9/2026 20:23:49,43,1st Half,Tata just stepped onto the pitch.  Ref stopped the game to send him back.  The bench received a 🟨.,99,,,yes,,
5/9/2026 20:25:30,44,1st Half,ATLUTD trying to regain their composure.  Their halftime will be a lot of primal screams.,89,,,yes,,
5/9/2026 20:26:32,45,1st Half,3' stoppage,11,,,,,
5/9/2026 20:27:53,47,1st Half,"Everyone going to ground now.  Tackles, slides, trying to get cards from the Ref.",81,,,yes,,
5/9/2026 20:28:23,47,1st Half,Now the LA bench gets a 🟨,26,,,yes,,
5/9/2026 20:29:43,48,Halftime,the full ATLUTD team wants to discuss things over with the Ref at the whistle,77,,,yes,,
5/9/2026 20:30:01,49,Halftime,The LA coach walks up to the Ref.  He's warned to go back.,58,,,,,
5/9/2026 20:30:27,,Halftime,Neither side is happy with the Ref tonight,42,,,yes,,
5/9/2026 20:35:30,,Halftime,"Player Impressions:
Hoyos - has kept the ball out of the net.  Not doing anything special.
Tomás - breaking up pays, sending the ball foward.  Has an eye for the attack.
Gregersen - a couple of good recovery runs
Berrocal - Solid on the backline.  
Báez - playing well in launching attacks.
Muyumba - playing well as the DM.  
Sanchez - Making good runs, and looking for the attack.  Needs to calm down.
Galarza - occasionally pops up, but otherwise not affecting the game
Miranchuk - not as dynamic as the past few games
Saba - playing well when moving up pitch.  Keeps overhitting the ball.
Latte Lath - Coming too deep to get the ball.  Not technical enough when taking a shot",679,,,,,
5/9/2026 20:42:39,,Halftime,ATLUTD come out nearly 3 min early from the locker room.,56,,,,,
5/9/2026 20:45:07,,Start 2nd Half,start,5,,,,,
5/9/2026 20:47:42,48,2nd Half,"Latte Lath to Tristen, to Miranchuk, to Saba.  He runs into the box.  Plenty of time for a shot.  He instead tries to cross - right into his mark.  Promising attack goes wanting.",178,,,yes,,
5/9/2026 20:48:04,48,2nd Half,Berrocal nearly gets his header goal afterall.  But goes wide this time.,72,,,yes,,
5/9/2026 20:49:12,49,2nd Half,ATLUTD have been giving up corners.  Need to be careful - Galaxy are threatening,80,,,yes,,
5/9/2026 20:50:32,50,2nd Half,LA Galaxy have control so far in the 2nd half,45,,,,,
5/9/2026 20:51:31,51,2nd Half,Galarza bad backpass is read by LA.  Becomes a 1 on 1.  Hoyos is able to block just in time.,92,,,yes,,
5/9/2026 20:52:05,52,2nd Half,nothing is working for Atlanta right now,40,,"miss-passes, bad plays, bad bounces",yes,,
5/9/2026 20:52:47,53,2nd Half,"Tristen with a beauty of a steal / backheel combo to stop a run, get the ball, and pass up to ELL",97,,,yes,,
5/9/2026 20:53:02,53,2nd Half,ELL is taken down.  🟨 card to Glesnes,38,,,,,
5/9/2026 20:54:37,54,2nd Half,"Sanchez collects a ball, keeps it from LA - passes to Tomás.  He loses it immediately",85,,,,,
5/9/2026 20:55:04,55,2nd Half,"Ball to Latte Lath, he runs into the box.  shoots, goal.  but well offsides.  still 0-0",87,,he was at least pushed up,yes,,
5/9/2026 20:55:52,56,2nd Half,Tristen with another long slide from behind to steal a ball.,60,,he was playing well most of the game,yes,,
5/9/2026 20:56:24,56,2nd Half,Long ball over the top.  Latte Lath and Marcinkowski rushing to get there.  Marcinkowski blasts it clear.,105,,ELL looked slow tonight.  His speed was once a defining feature,yes,,
5/9/2026 20:57:32,57,2nd Half,"Miranchuk with a nice through ball to Latte Lath.  He turns around a player.  takes to long, and his chance is gone.  Blocked shot.",131,,Last week was a fluke,yes,,
5/9/2026 20:58:09,58,2nd Half,Atlanta prepping a sub,22,,,,,
5/9/2026 20:58:28,58,2nd Half,"Báez up pitch , passes back to tristen, then to Saba.  Attack fizzles out.",74,,"good passing, easily lost possession in final 3rd",,,
5/9/2026 20:59:07,59,2nd Half,LA shot across goal goes wide,29,,,,,
5/9/2026 20:59:58,60,2nd Half,"Atlanta sub
off: Galarza
on: Fortune",36,,,,,
5/9/2026 21:00:32,60,2nd Half,LA prepping a sub,17,,,,,
5/9/2026 21:01:31,61,2nd Half,"Fortune gets the ball immediately, takes it into the left corner.  Passes back, it's crossed to Tomás.  Tomás one -times a shot which goes off the post",151,,Fortune makes an immediate impact,yes,,
5/9/2026 21:02:26,62,2nd Half,LA with a shot from the left goes over the bar,46,,,,,
5/9/2026 21:03:50,64,2nd Half,Game is mostly being played in atlanta's half,45,,,,,
5/9/2026 21:04:37,65,2nd Half,"LA sub:
on: Reus
off: Haak",26,,,,,
5/9/2026 21:05:20,65,2nd Half,Stian is beaten - LA runs him in a circle,41,,"without his speed, he has been subpar",,,
5/9/2026 21:05:37,65,2nd Half,Atlanta prepping 2 subs,23,,,,,
5/9/2026 21:07:28,67,2nd Half,Miranchuk cross finds Sanchez.  it's deflected out for a corner.,64,,"Miranchuk is finding players quickly, setting them up",,,
5/9/2026 21:08:33,68,2nd Half,"Saba shot - deflected towards goal, but still blocked",53,,,,,
5/9/2026 21:09:28,69,2nd Half,"Báez nifty nutmeg.  Passes to Fortune.  He dribbles along the 18, picks his moment, shot -  Curling shot goes around the keeper to the right corner.  Goal.  Atlanta 1-0",168,,in the game for 9 min,yes,,
5/9/2026 21:10:15,70,2nd Half,Fortune runs to the sidelist to hug the athletic trainer.,57,,first goal since returning from injury,yes,,
5/9/2026 21:10:36,70,2nd Half,"Atlanta sub:
on: Togashi, Brennan
off: Latte Lath, Saba",55,,"Atlanta needs a goal, and the starting striker subbed",,,
5/9/2026 21:11:29,71,2nd Half,Sanchez looks to have face-planted an LA player to the ground.  Ref lets the play go on.  He passes to Miranchuk.  Shot goes just wide.,135,,not sure why this wasn't a foul,,,
5/9/2026 21:12:28,72,2nd Half,"Tristen had the ball - 2 LA players in separate attempts nearly strip him of the ball.  he keeps it close, and manages to get it forward, and still able to make the pass",169,,Tristen had duct taped the ball to his boots,yes,,
5/9/2026 21:12:48,73,2nd Half,"LA sub:
on: Paintsil, Thommy
off: Sanabria, Miller",50,,,,,
5/9/2026 21:13:52,74,2nd Half,"Reus with a breakaway, passes to Pec on the right wing.  Báez tries a slide from behind but misses.  1-on-1 with the keeper.  Shot, score.  1-1",143,,"ATLUTD were too high, looking for another goal",yes,,
5/9/2026 21:15:01,75,2nd Half,Stian is getting knocked to the ground on subsequent plays.  He is looking tired,80,,As Five Stripe Final points out - he's hit his limit at this time,yes,,
5/9/2026 21:15:26,75,2nd Half,"Miranchuk gets the ball centrally, beautiful ball out wide to Galarza.   He's the central playmaker on the next several plays",125,,,yes,,
5/9/2026 21:17:00,77,2nd Half,"Miranchuk trying to pass to Togashi.  They can't get on the same page yet, but it's close",89,,,,,
5/9/2026 21:18:57,79,2nd Half,"Reus along the right.  3-on-2 now.  He passes centrally.  Initial shot is blocked, but LA are first to the follow-up.  Pec shot, it's put in.  LA 2-1",149,,,yes,,
