Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes2
4/25/2026 14:22:36,48,2nd Half,Toronto has their full team behind the ball.  Osorio standing forward in front of the wall,86,,,yes,,
4/25/2026 14:22:50,48,2nd Half,Miranchuk takes it - top left corner goal!  Atlanta 1-0,55,,He beat literally the entire Toronto team on that shot,,,
4/25/2026 14:25:15,50,2nd Half,Atlanta in full control of midfield,35,,,,,
4/25/2026 14:25:33,51,2nd Half,"Edwards with the ball on the right, crosses in.  Sanchez can't get it cleanly",77,,,,,
4/25/2026 14:26:11,51,2nd Half,Báez prevents Etienne Jr. from getting the ball,47,,,,,
4/25/2026 14:26:54,52,2nd Half,Etienne Jr. to Franklin - Berrocal breaks it up for a corner.,61,,Berrocal was reading the game very well,,,
4/25/2026 14:27:29,53,2nd Half,Corner comes in - Fortune and Stian both block a shot.  out for another corner,78,,hectic,yes,,
4/25/2026 14:28:02,53,2nd Half,Atlanta very disorganized at the moment,39,,this was going in spurts,,,
4/25/2026 14:28:18,53,2nd Half,Toronto get the ball into the box.  Osorio hit a floater.  Sargent with a diving header - nearly gets it in!,108,,,yes,,
4/25/2026 14:29:16,54,2nd Half,Edwards got a knee into the thigh - goes down.  Will hurt,57,,didn't affect his play,,,
4/25/2026 14:30:03,55,2nd Half,Toronto suddenly in control.  ATLUTD defending desperately,58,,,yes,,
4/25/2026 14:31:18,56,2nd Half,Etienne Jr. hits Báez lightly in the head.  Báez goes down.  Etienne Jr. lightly kicks Báez in the back of the head.  Didn't look intentional,141,,,yes,,
4/25/2026 14:31:54,57,2nd Half,Báez has scratches on the back of his neck.,43,,,,,
4/25/2026 14:32:36,58,2nd Half,Atlanta prepping subs.  Picault warming up,42,,,,,
4/25/2026 14:32:57,58,2nd Half,"ELL receives a throw-in, chips it central.  Too far.",52,,,,,
4/25/2026 14:33:33,59,2nd Half,Brennan does well to hit the ball up to Fortune,47,,,,,
4/25/2026 14:33:45,59,2nd Half,"Atlanta sub:
on: Picault
off: Brennan",37,,a clear upgrade in quality here,,,
4/25/2026 14:34:25,60,2nd Half,"Sanchez heavy touch to Muyumba, Tristan is stripped of the ball.  Sargent has the ball.  Gregersen breaks it up - but then kicks out at the end.  Free kick in a dangerous spot",175,,"wasn't really a kick-out, but trying to quick twice - ended up kicking Sargent in the shin",yes,,
4/25/2026 14:35:50,61,2nd Half,Free kick goes for goal.  Toronto just misses.,46,,,,,
4/25/2026 14:36:31,62,2nd Half,Berrocal knocks over Etienne Jr. in the corner.,47,,,,,
4/25/2026 14:36:46,62,2nd Half,The past 5-10 min has been all Toronto,38,,,,,
4/25/2026 14:37:30,63,2nd Half,"Franklin is open on the back, has a free header.  Shot, Hoyos stops it",70,,can't be leaving the backdoor open,,,
4/25/2026 14:37:59,63,2nd Half,ATLUTD have given up all control right now.  Barely holding on,62,,,yes,,
4/25/2026 14:39:06,64,2nd Half,Berrocal clears a high ball going past the back line,52,,,,,
4/25/2026 14:39:44,65,2nd Half,"Sanchez up pitch to Edwards.  Back to Edwards, to Gregersen, Muyumba, .....",75,,"trying to slow things down, regain possession",,,
4/25/2026 14:40:23,66,2nd Half,Miranchuk crosses left to Báez.  sends it up to Picault in the box.  Blocked,76,,,,,
4/25/2026 14:40:29,66,2nd Half,"Atlanta calming down, once again gaining control and possession.",64,,,yes,,
4/25/2026 14:41:18,66,2nd Half,"Muyumba to Sanchez, to Picault, backpass to Muyumba - shot from the 18, GOAL.  ATLUTD 2-0",89,,in the run of play,yes,,
4/25/2026 14:43:26,69,2nd Half,Báez breaks up a long ball.  Toronto still in control,53,,,,,
4/25/2026 14:43:43,69,2nd Half,Toronto prepping their last subs,32,,,,,
4/25/2026 14:44:04,69,2nd Half,"Sargent takes a shot - just wide, right.  He remains dangerous. Miranchuk was on him, where were the defenders?",111,,"Mira did well, but why was it him doing this? ",yes,,
4/25/2026 14:45:24,71,2nd Half,Franklin sends in a long ball to the top of the box.  Aristizábal heads it high.  Toronto goal.  2-1 now,104,,,,,
4/25/2026 14:46:11,71,2nd Half,"Toronto subs:
off: Aristizábal, Sargent, Coello
on: Henry, Vilsaint, Bossenberry - from the MLS NextPro team",108,,,,,
4/25/2026 14:47:32,73,2nd Half,Muyumba dribbles all the way to the Toronto backline.  He then recovers the ball in the same area.  Toronto regain control,122,,"bad to lose the ball, good to recover.  but gave up the middle of hte pitch",,,
4/25/2026 14:47:55,73,2nd Half,"Toronto sends in a cross, Hoyos collects and drops to ground.  Needs to slow the game down.",91,,,yes,,
4/25/2026 14:49:15,74,2nd Half,"Toronto player in the box, Henry, open in the right.  Turns past Báez, shot, kisses the left post.",98,,,yes,,
4/25/2026 14:50:30,76,2nd Half,Muyumba through ball to Fortune.  He carries it to the right corner.  Fortune is called for a foul.,99,,,,,
