Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
7/26/2026 9:57:43,28,1st Half,"Polster as the ball.  He's pressured by Báez.  New England attack down the right.  Báez stays with the ball.  As the ball enters the box, Báez taps it just enough to prevent Miller from being able to shoot.
The ball is pushed to Hoyos who collects.",248,,,,
7/26/2026 9:58:40,29,1st Half,Atlanta looking for hero ball.  Want that special breakaway play.  They're not attacking in coordinated movement.,113,,,,
7/26/2026 9:59:22,30,1st Half,Muyumba with a side flick to Miranchuk.  He tries a quick long shot.  But it's blocked just in time.,100,,,,
7/26/2026 9:59:35,30,1st Half,The game is end to end at the moment,36,,,,
7/26/2026 10:00:00,30,1st Half,Picault on the right.  He's yelling at the backline and midfield to play faster,79,,,,
7/26/2026 10:00:35,31,1st Half,Alonso takes the ball down the left.  Sends it up to Almirón.  He passes into the box. Picault nearly finds it.,111,,,,
7/26/2026 10:00:52,31,1st Half,"Collison on the right.  Edwards sees 🟨.  Looked like a late play, kicked Turgeman",82,,,,
7/26/2026 10:02:09,32,1st Half,New England through ball into the box.  Hoyos rushes out and collects.  Yusuf nearly gets to it,95,,,,
7/26/2026 10:04:31,35,1st Half,Gregersen long ball to Miranchuk on the half-line.,50,,,,
7/26/2026 10:04:39,35,1st Half,"Miranchuk on the arc.  No shooting lane, passes right to Reilly.  He is running onto the ball and shoots.  New England get there to block.  Ball out for a corner",161,,,,
7/26/2026 10:04:41,35,1st Half,"Ball is headed clear.  Muyumba under it, tries a one touch shot.  It goes wide left.",84,,,,
7/26/2026 10:05:12,35,1st Half,New England short corner.  They have 2 players present to ensure they keep the ball.,84,,,,
7/26/2026 10:06:10,36,1st Half,"In a coordinated move, New England passes into the front-right box.  a80 there, he passes a beauty central - could have been a shot - Turgeman running onto it.  He shoots and beats Hoyos.
Looked like Hoyos didn't move as the cross came in.  Turgeman got there and hit it off the right post into the net.  He was only watching the cross.  Reilly was marking Turgeman, but behind him the entire way.",397,NE 2-0,"Atlanta have had 2x the number of shots.  Only 1 on target
NE with just 3 shots, but 2 up",,
7/26/2026 10:07:57,38,1st Half,New England passing for fun now.  Gregersen fouls Turgeman to break it up.,74,,,,
7/26/2026 10:09:17,40,1st Half,New England pass on their right.  Muyumba is able to break it up.,65,,,,
7/26/2026 10:09:40,40,1st Half,"Atlanta finds Almirón open on the left.  He sends a nice cross along the 6.  No one there to receive it, or even pressure the keeper",132,,,,
7/26/2026 10:11:05,41,1st Half,"Muyumba through ball finds Almirón - under pressure, he manages to left-foot tap it towards goal.  The ball slowly rolls towards the net.  But it hits the post and back out.
That would have been a cheeky goal had it gone in.",224,,,,
7/26/2026 10:12:14,42,1st Half,Miranchuk finds Miggy centrally.  Almirón long and HARD shot from outside the arc.  Heads to the top left corner.  Turner is able to tap it over.  A beauty.,156,,,,
7/26/2026 10:12:58,43,1st Half,Báez prevents a Turner distribution and gets a talking-to from the Ref.,71,,,,
7/26/2026 10:15:55,46,1st Half,"Sanchez chasing the ball as it goes to Turner.  Under tight pressure, Turner pulls his leg back after he kicks.  Sanchez just misses the ball and knocks into Turner.",165,,,,
7/26/2026 10:17:07,47,1st Half,"Miranchuk gets the ball to Edwards.  He's able to hit it high central.  The ball looked great.  Perfect spot. Picault was near, but knocked in the other direction.  No one else near.",182,,,,
7/26/2026 10:17:14,47,1st Half,3' ET,5,,,,
7/26/2026 10:18:08,48,1st Half,"Atlanta finds Almirón on the left.  He and Báez pass.  They get it to Picault.  He sends a really nice ball along the 6.  
Again, no Atlanta player crashing the box.  Another chance goes wanting.",195,,,,
7/26/2026 10:18:09,,Halftime,stop,4,,,,
