Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
9/12/2026 20:26:03,30,1st Half,Atlanta's main outlet is down the left.  Miggy and Báez alternating who is going up.,84,,,,
9/12/2026 20:26:36,30,1st Half,"Servania and Embolo going after a ball.  Jay gets in front, between Servania and the ball.  Servania pushes Fortune to the ground in frustration.",145,,,,
9/12/2026 20:27:36,31,1st Half,"Alonso with a long ball over the top finds Miggy again.  Miggy is in the box.  With a spin, he turns and hits the ball .  Could have been a shot or cross.  Ends up going out.
Alonso and Almirón are reading each other well now.  Atlanta needs another runner in the box.",268,,,,
9/12/2026 20:28:29,32,1st Half,"D.C. has been playing more of a counter-attack game.
Atlanta has been looking better when they have the ball.",109,,,,
9/12/2026 20:29:59,34,1st Half,"Mihaj long ball - this has to be intentional now - over the top to Fortune.  D.C. pounce.  This looks to be the overall game plan.  Send a ball over the top and get speedy runners to get there.
Embolo is playing too deep to help out on the top of the attack.",258,,,,
9/12/2026 20:30:54,35,1st Half,Embolo can't get the ball - D.C. has 3 players on him,53,,,,
9/12/2026 20:31:38,35,1st Half,Atlanta free kick.  D.C. holding a very high line outside the 18.,65,,,,
9/12/2026 20:31:47,36,1st Half,Sanchez long ball into the 18.  D.C. keeper collects,52,,,,
9/12/2026 20:32:36,36,1st Half,"Nono passes to Munteanu.  Amaro challenges from behind, takes him out.
Ref has no choice but to give Amaro a 🟨.",112,,,,
9/12/2026 20:33:59,38,1st Half,D.C. throw-in.  Jacob and Sanchez are complaining about something to the Ref.  Are then caught offguard by the throw.  Embolo ends up putting it out for a corner.,162,,,,
9/12/2026 20:35:59,40,1st Half,"Báez was knocked to the ground by a D.C. player in the box.  
It initially looked soft.  The Ref is coming over.  Hoyos quickly runs over and sprays water into Báez's face, mouth area.  Looked like he was trying to wash away blood.
Ref wasn't phased, and made medical staff come over to Báez.  He has to go off for treatment.  They do check him for concussion.",360,,,,
9/12/2026 20:36:16,40,1st Half,Báez is back on.,16,,,,
9/12/2026 20:37:42,41,1st Half,"Late in the half now.  D.C. is sitting deep.  Atlanta playing it safe, playing for possession, when they really need to push forward and attack hard.",149,,,,
9/12/2026 20:38:50,43,1st Half,"Alonso passes up to Báez on the left.  Báez gets there unmarked, sends a one-touch ball into the box.  
Miggy is there - one touch hit.  D.C. defenders running backwards, but they're beaten.  The ball skims off the post into the side netting.",242,,,,
9/12/2026 20:40:25,44,1st Half,"Báez with a couple of great crosses into the box.  
On the 2nd, Miggy passes up to Embolo.  D.C. players swarm on him, and he cannot control.",141,,,,
9/12/2026 20:42:23,46,1st Half,"Combination play from Atlanta - looking great until the final touch.
Báez one touch to Miggy, he waits for runners.  First attempt is blocked.  He then passes to Amaro, to Miranchuk.  He turns and tries an outside of the left foot shot which goes wide right.",258,,,,
9/12/2026 20:42:24,,Halftime,stop,4,0-0,,,
