Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
7/17/2026 21:18:29,,Pre-Game,ATLUTD vs Charlotte,19,,,,
7/22/2026 17:30:02,,Pre-Game,"Atlanta had taken 34 more shots than Charlotte, while generating almost the same xG: 21.67 to Charlotte's 23.32. Yet Charlotte had scored 10 more goals.",152,,,,
7/22/2026 17:31:12,,Pre-Game,"Atlanta was -6.87 goals against expected, 29th in MLS by that measure. Charlotte was essentially neutral at +0.56.",114,,,,
7/22/2026 17:31:57,,Pre-Game,"Atlanta averaged 52.6% possession, compared with Charlotte's 46.3%. Tata Martino specifically said possession and transition defense will be central tonight, noting Charlotte's four attacking players and similarities to Nashville's setup.",238,,,,
7/22/2026 17:32:35,,Pre-Game,Atlanta possession → Atlanta territorial pressure → Charlotte looking for the moment Atlanta loses structure.,109,,,,
7/17/2026 21:40:41,,Pre-Game,"Charlotte Availability:
David Schnegg (CLT) - Suspended: 🟥 Card - Second Caution
Aron John (upper body) - out",110,,,,
7/17/2026 21:40:57,,Pre-Game,"Atlanta Availability:
Pedro Amador Achilles Tendon -- Out 
Paulo Díaz Visa Process - Out 
Matt Edwards Hamstring - Questionable 
Jay Fortune Hamstring - Out 
Sergio Santos Calf - Out",182,,,,
7/22/2026 17:34:12,,Pre-Game,"Without Fortune, , Martino has fewer natural options for connecting the midfield while still covering transitions.",114,,,,
7/22/2026 17:34:57,,Pre-Game,"Throug 15 matches:

Charlotte: 24 goals from 23.32 xG
Atlanta: 14 goals from 21.67 xG

Their underlying chance creation was remarkably close.

Charlotte's defense also was not dramatically better:

Charlotte: 23 conceded
Atlanta: 24 conceded",241,,,,
7/22/2026 17:37:10,,Pre-Game,Atlanta has 2 players on 🟨 card danger.  Mihaj and Jacob.,58,,,,
7/22/2026 20:08:42,,Pre-Game,The big news is that Latte Lath is not on the game day roster.  Henderson spoke on 92.9 and indicated he's being held out due to ongoing conversations about the striker.,169,,,,
7/22/2026 20:25:49,,Start 1st Half,start,5,,,,
7/22/2026 20:25:57,0,1st Half,"Atlanta in black, Charlotte in sky blue",39,,,,
7/22/2026 20:27:41,2,1st Half,Alonso has had his first touches.  Playing as the deepest defender.,67,,,,
7/22/2026 20:27:51,2,1st Half,Alonso with a nice long ball over the top to find Picault,57,,,,
7/22/2026 20:28:44,3,1st Half,Charlotte strike from outside the box.  Hoyos dives to block.,61,,,,
7/22/2026 20:30:31,5,1st Half,"Atlanta playing the ball to the outside, trying to play keepaway",64,,,,
7/22/2026 20:31:02,5,1st Half,"Reilly with a run up the center, passing passing.   Eventually, Muyumba loses it.",81,,,,
7/22/2026 20:31:33,6,1st Half,"Charlotte coach, Dean Smith, former Altanta Silverbacks coach",61,,,,
7/22/2026 20:32:37,7,1st Half,"Charlotte content with giving Atlanta possession, then picking their moments.",77,,,,
7/22/2026 20:32:59,7,1st Half,"Charlote with a floating shot, nearly goes in.  Outside of Hoyo's reach.  Just outside the left post.",101,,,,
7/22/2026 20:35:01,9,1st Half,"Jacob takes his time to decide on a pass.  Then sends it direclty to a Charlotte player.  Atlanta immediately under pressure, but are able to clear.  The mistake isn't costly.",175,,,,
7/22/2026 20:35:59,10,1st Half,Long ball up the pitch for Coopher.  He sends it central for Almirón.  Atlanta move the ball around and get it inot the box.  It ends up going out for a throw.,159,,,,
