Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
8/23/2026 19:54:57,43,1st Half,KC attack on the right.  Muyumba takes Davis down lands on top of him.  Ball goes into the box.  Hoyos collects.  Díaz sheilds the ball.  Capemba bounces off Díaz.  They go down and Díaz lands on top of him.  Hoyos stays down after the play holding his side.,258,,,,
8/23/2026 19:55:15,43,1st Half,KC player down off the play near the center line.  Looks like Davis,67,,,,
8/23/2026 19:57:01,45,1st Half,Muyumba is finally up and walking off.  Hoyos was practicing headers while waiting.,83,,,,
8/23/2026 19:57:18,45,1st Half,5' stoppage,11,,,,
8/23/2026 19:57:52,46,1st Half,Looks like Davis's night is done.  He's sitting on the bench.  KC prepping a sub,80,,,,
8/23/2026 19:58:39,47,1st Half,"KC sub
off: Davis
on: Reynolds",30,,KC 1 sub window down,,
8/23/2026 20:00:15,48,1st Half,"KC keep pressing towards goal, can't get past the 18.  Atlanta holding their shape firmly",89,,Davis has a huge bag of ice on his knee.  hobbling on the bench,,
8/23/2026 20:02:11,,Halftime,stop,4,,,,
8/23/2026 20:02:53,,Halftime,Tata doing an interview at halftime - hugs the reporter,55,,,,
8/23/2026 20:03:01,,Halftime,"Player IMpressions:
Hoyos - nothing flashy bu tgetting the job done
Jacob - looks to be having fun getting up high and sending crosses in
Díaz - really impressed with his play and composure so far.  
Alonso - he and Díaz are a good pairing.  Communicating well, organizing the team very well.
Báez - interacting quite well between himself, Muyumba, Miggy.  Moving and passing well
Sanchez - nothing spectacular.  But in very good positions, passing well.
Gill - has made some bad misplays, giving the ball away.  But getting better as the night goes on.  moving and passing well
Miranchuk - a quiet night so far.  needs to see more from him in the 2nd half.  
Muyumba - putting himself in good positions.  good passing.  not great, but a good night so far.  Main idea is to keep possession
Almirón - a standout night.  a completely different player vs before the world cup
Picault - very good on the wing and up top.  standout night.",933,,,,
8/23/2026 20:08:45,,Halftime,"Embolo is showed off a the half in front of the capo stand.  Chris Henderson, Culebro show him off to the crowd.  The crowd sends up a huge roar for him.
He signs shirts, takes photos, and sends a scarf into the crowd.",218,,,,
8/23/2026 20:18:58,,Start 2nd Half,start,5,,"Miguel Almiron is now the all-time career assist leader in ATL UTD history. That was his 42nd career assist in all competitions, breaking a tie with Brooks Lennon (41)",,
8/23/2026 20:19:53,46,2nd Half,KC pushing up high to start the half,36,,,,
8/23/2026 20:22:54,49,2nd Half,Atlanta sitting a little deeper this half,41,,,,
8/23/2026 20:23:11,49,2nd Half,Miranchuk sends  a ball over the top to Miggy.  He gest to the 18 then sends it back.  Miranchuk sends the ball over the net,124,,,,
8/23/2026 20:24:51,51,2nd Half,KC low cross into the box.  Gill is there.  Atlanta can't keep possession though,80,,,,
8/23/2026 20:25:30,52,2nd Half,"KC can't figure out what to do with the ball in the final 3rd.  If they did, they'd be able to do some damage",109,,,,
8/23/2026 20:27:06,53,2nd Half,"the difference tonight is that Atlanta are moving as a team.  When one player breaks, four others do.  they are interested in moving as a group.  very nice to see",162,,,,
8/23/2026 20:28:17,54,2nd Half,"KC free kick outside the left side of the 18.  Sends it in, dangerous spot, but headed over",91,,,,
8/23/2026 20:29:45,56,2nd Half,KC puts a high cross in along the 6.  It's headed but in the wrong direction.  Atlanta getting lucky that KC cannot make anything of their chances.,147,,,,
8/23/2026 20:30:30,57,2nd Half,"KC prepping 2 subs - Afrifa, Reid",33,,,,
8/23/2026 20:32:05,58,2nd Half,Báez is often up higher than Almirón now.  He's pressing high often,67,,,,
8/23/2026 20:32:51,59,2nd Half,"really nice sequences from Atlanta now.  from their half all the way to the 18.  several through balls, working them well.",122,,Atlanta players slowing down.  3 games in a week is probably having an effect,,
8/23/2026 20:33:24,59,2nd Half,Atlanta corner comes in.  Cleveland punches clear,49,,,,
8/23/2026 20:34:09,60,2nd Half,"KC break, but Gill is in the way.  Capemba and Gill get into it, Capemba shoves Gill over.  
He misses his chance at a break.  Gill stops the attack.",149,,,,
8/23/2026 20:35:12,61,2nd Half,"KC finally get the subs.  
on:  Calheira, Karić",47,,,,
8/23/2026 20:35:47,62,2nd Half,"Atlanta subs
on:  Reilly, Brennan
off:  Picault, Gill - hugh cheers for each",76,,Picault was gassed.,,
8/23/2026 20:36:45,63,2nd Half,Brennan setting up shop on the left wing.  Báez dropping deeper.  Almirón pushing up top,88,,,,
8/23/2026 20:37:49,64,2nd Half,"Afrifa breaks down the left.  Reilly calmly waits, then sprints to strip him of the ball",88,,Reilly taking over Gill's spot as a DM,,
8/23/2026 20:38:12,64,2nd Half,Miranchuk really nice through ball up the left to Brennan.  He's got two marks and can't get it under control,109,,,,
8/23/2026 20:40:01,66,2nd Half,Báez diving block to prevent a pass to the right wing,53,,,,
8/23/2026 20:40:25,66,2nd Half,"Brennan has the ball, tries running up the wing.  Has 2 marks and can't progress.  Loses the ball",97,,,,
8/23/2026 20:42:34,69,2nd Half,KC finding opportunities now.  Atlanta losing their shape.,58,,,,
8/23/2026 20:44:06,70,2nd Half,"KC have coordinated movement on the left.  Get the ball into the box.  Afrifa turns and shoots - into the right side of the net
Afrifa does well to control a rocket of a pass.  He taps it to Reid.  Ball goes down for Afrifa who shoots.  Pulskamp is furious with his defenders - he had tno chance",295,2-1,,,
8/23/2026 20:46:00,72,2nd Half,Brennan and KC player on the left get into it.  Brennan fouls the player and gets the worst of it.  Brennan sees 🟨,115,,,,
8/23/2026 20:46:13,72,2nd Half,"Atlanta sub
on:  Gregersen
off:  Díaz",37,,Diaz gets hugs as he exists - looks gassed as he exits,,
8/23/2026 20:47:28,73,2nd Half,"KC with the free kick - sends it high - it's sent over with a hard header, goes just over the bar.  I thought that was going in.",128,,,,
8/23/2026 20:47:32,74,2nd Half,Atlanta prepping 2 subs - Edwards and Alzate,44,,,,
8/23/2026 20:47:47,74,2nd Half,KC suddenly looking likely to equalize.  Atlanta up against the wall,68,,,,
8/23/2026 20:48:10,74,2nd Half,Brennan is heavily limping now,30,,Atlanta's last subs,,
8/23/2026 20:49:35,76,2nd Half,"Báez takes a long time with the throw, Penso shows him 🟨",57,,Baez will now be suspended for the next game,,
8/23/2026 20:49:54,76,2nd Half,Brennan goes down now,21,,,,
8/23/2026 20:51:01,77,2nd Half,"Atlanta subs:
on:  Edwards, Alzate
off:  Sanchez, Brennan",57,,Brennan able to walk around the pitch under his own power,,
8/23/2026 20:53:01,79,2nd Half,Atlanta now playing with 2 DM's.,32,,,,
8/23/2026 20:53:37,80,2nd Half,"Harris running into the center, Muyumba with a nice sliding tackle strips him of the ball.  And for some reason is called for a foul.  Not sure why.
The call was on Reilly who held his player",191,,,,
8/23/2026 20:54:02,80,2nd Half,"Edwards is playing high, acting as a winger.  Alzate playing as a DM when in defense, up to winger in attack",108,,,,
8/23/2026 20:56:30,83,2nd Half,Edwards not up to the speed of the game.  Stuck between winger and wingback.  not doing much in either,102,,,,
8/23/2026 20:57:09,83,2nd Half,"Alzate back into the box, heads clear a ball",44,,,,
8/23/2026 20:57:57,84,2nd Half,"Atlanta can't get the ball up the pitch.  look to be holding on.  KC trying to press - speed of play is too much for them, but are getting chanes",145,,,,
8/23/2026 20:58:54,85,2nd Half,"Edwards now back as a defender, blocks a long ball and prevents a cross",71,,,,
8/23/2026 20:59:08,85,2nd Half,Miggy on a run gets into the box.  Bassong knocks hard into him.  Miggy goes down hard.  No call.  There was no intent to play the ball,135,,,,
8/23/2026 20:59:28,85,2nd Half,The crowd letting Penso know how it feels.  Edwards and Jacob strip KC of the ball and are called for a foul.  Harsh after Miggy's hit.,135,,,,
8/23/2026 21:00:17,86,2nd Half,KC sub,6,,neither KC nor Atlanta have had a penalty all year,,
8/23/2026 21:02:14,88,2nd Half,Atlanta parking the bus now.  waiting for KC to make the move,61,,,,
8/23/2026 21:03:39,90,2nd Half,"Miranchuk ges the ball, thinks to make a break.  Then realizes he needs to hold the ball and waste time.  He and Báez end up losing it.",135,,Atlanta have not had a 3 MLS-match wining streak in 5 years,,
