Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
9/9/2026 15:56:41,,Pre-Game,ATLUTD vs Orlando,17,,,,
9/9/2026 15:56:43,,Pre-Game,"The following players are one caution away from suspension/fine:
Lucas Hoyos, ATL
Cooper Sanchez, ATL",101,,,,
9/9/2026 15:56:45,,Pre-Game,"Player Availability Report:
Atlanta:
OUT: Giuliano Galoppo (not due to injury)
OUT: Cooper Sanchez (concussion protocol)
QUESTIONABLE: Steve Alzate (illness)

Miami:
OUT: Adrián Marín (thigh)
OUT: Braian Ojeda (foot)",216,,,,
9/9/2026 15:56:44,,Pre-Game,"Weather:
Warm sunny day",23,,,,
9/9/2026 19:16:44,,Pre-Game,"Cooper Sanchez, out with concussion, is doing a meet and greet tonight with the Chic-Fil-A corporate event",106,,,,
9/9/2026 19:18:03,,Pre-Game,Jay Fortune is getting the start tonight.  Tata gave a hint of this in tuesday's press conference,97,,,,
9/9/2026 19:29:07,,Pre-Game,Atlanta only has 2 midfielders on the bench - Gill and Reilly,61,,,,
9/9/2026 19:34:22,,Pre-Game,a light crowd at kickoff,24,,,,
9/9/2026 19:37:24,,Pre-Game,New player introduciton videos on the Halo board tonight,56,,,,
9/9/2026 19:39:08,,Pre-Game,Díaz ran as fast as possible from the huddle,44,,,,
9/9/2026 19:39:49,,Pre-Game,both teams were ready to go a full minute before the whistle.  Raring to go,75,,,,
9/9/2026 19:40:06,,Start 1st Half,start,5,,,,
9/9/2026 19:40:11,0,1st Half,Orlando kicks off,17,,,,
9/9/2026 19:40:55,1,1st Half,Orlando tried moving the ball into Atlanta's half.  didn't get very far.,72,,,,
9/9/2026 19:42:31,2,1st Half,"Orlando finally get into the half and make it into the final 3rd.  They have an opportunity for a cross, with the backdoor wide open.  Hoyos rushes out to collect.",163,,,,
9/9/2026 19:43:07,3,1st Half,Atlanta defense looks well organized,36,,,,
9/9/2026 19:43:43,4,1st Half,"Long ball to the wing - to Jacob.  He has a bad first touch, and it's knocked out.",82,,,,
9/9/2026 19:45:38,6,1st Half,Atlanta chance.  Báez cross into the box.  It's a tough one.  About waist high at the penalty spot.  In comes Jacob who jumps and hits a one touch.  The ball goes wide left.  Exciting though,190,,,,
9/9/2026 19:45:58,6,1st Half,"Amara is playing similar to Messi - walks around, with intent, to find open spots",81,,,,
