Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes
4/22/2026 20:38:52,43,1st Half,ATLUTD have a nice string of passes.  Progressing the ball forward each time.,77,,,yes,,
4/22/2026 20:39:47,44,1st Half,"Galarza is called for a foul, taking down Raines - gets a 🟨.  Alexey applauds his effort.",90,,,yes,,
4/22/2026 20:41:14,45,1st Half,Neither Sanchez or Reilly are staying in the middle.  But both have the legs to battle for every ball.,102,,they probably strayed too far,,,
4/22/2026 20:42:15,46,1st Half,"Alexey was caught out in trouble - before he lost control of the ball, Sanchez was already moving to back him up.",113,,,,,
4/22/2026 20:42:33,47,1st Half,Alexey shot from outside the 18 sends Turner diving for the save 🧤.,68,,,yes,,
4/22/2026 20:43:43,48,1st Half,"Reilly misplaced a pass to the front line for a giveaway.  Good thought though - forward moving, positive passing.",114,,had too many miss passes,,,
4/22/2026 20:44:21,48,1st Half,Turgeman and Mihaj getting a talking to from the ref.,53,,,,,
4/22/2026 20:45:45,50,1st Half,New England pressing Atlanta back.  Get a cross into the box.  Hoyos saves.,75,,,,,
4/22/2026 20:46:16,50,1st Half,There are generally 2 ATLUTD players going for every loose ball.,64,,,yes,,
4/22/2026 20:47:17,51,1st Half,The crowd cannot fault the players for effort tonight.,54,,,,,
,,Halftime,,,,,,,
4/22/2026 20:49:34,,Halftime,"A much better performance so far tonight.  Up next, the dreaded team talk.  Which ATLUTD team will come out of the tunnel?",122,,,,,
4/22/2026 20:54:58,,Halftime,"Player impressions:
Hoyos - He was badly beaten on that non-goal.  Lucky.
Edwards - for someone his age, he is handling himself well.  Getting outmatched, but not beaten.
Mihaj - has seen him complaining after a few plays which didn't go his way.  
Berrocal - good so far.  WOrking hard along the back.
Amador - getting far up the pitch.  good on defense and offense.
Sanchez - Running all over, but New England are gaining ground.  He could be subbed first.
Galarza - not flashy, but putting himself in good positions. 
Miranchuk - playing like he wants to be the main guy.  All over the place, talking to players, looking for passes.
Saba - His techincal ability is a limiting factor.  He is running hard, playing well off others.
Picault - has looked very good tonight on and off the ball.",792,,,,,
4/22/2026 21:05:41,,Start 2nd Half,start,5,,,,,
4/22/2026 21:05:40,45,2nd Half,the 2nd half starts with Atlanta trying to push New England back.,65,,,,,
4/22/2026 21:06:36,46,2nd Half,New England gets into the right corner.  Edwards takes him down from behind - 🟨,80,,"he was outmatched, but worked hard",yes,,
4/22/2026 21:07:11,47,2nd Half,New England free kick outside the box.  Saba and Alexey man the wall.  Ball goes over everyone and out.,103,,,,,
4/22/2026 21:08:57,48,2nd Half,Miranchuk with a nice flic up to a running Saba.  But he. loses it.,67,,his final 3rd decision making just isn't there,,,
4/22/2026 21:09:43,49,2nd Half,New England have had much of the upper hand in the past couple of min.,70,,the tide is starting to turn,,,
4/22/2026 21:11:33,51,2nd Half,"Sanchez tracks back to collect a loose ball, passes to Galarza - shoots from 40 yards.",86,,,,,
4/22/2026 21:12:46,52,2nd Half,"Atlanta pass between Alexy, Saba, Alexey, Picault into the box.  New England break it up before anyone can shoot.",113,,,,,
4/22/2026 21:13:32,53,2nd Half,"Saba centers to Miranchuk outside the box.  Thought about a shot, passes to Galarza.  It's deflected out for a corner.",118,,,,,
4/22/2026 21:15:47,55,2nd Half,ATLUTD again very organized.,28,,,,,
4/22/2026 21:16:05,55,2nd Half,Reilly with another miss pass through the middle.  Giveaway,59,,,,,
4/22/2026 21:18:00,57,2nd Half,"New England passing the ball around, back & forth, trying to find their way into the box.  Can't get at the end of it.",118,,,,,
4/22/2026 21:18:28,58,2nd Half,"New England sub
off: Yow
on: Fagúndez",37,,,,,
4/22/2026 21:19:27,59,2nd Half,Sanchez draws a foul on the right wing.  Gets applauded by Saba and Alexey.,75,,teamwork,yes,,
