Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
8/1/2026 20:21:20,41,1st Half,Reilly is able to clear the corner.  He's been quiet so far.,60,,,,
8/1/2026 20:22:03,41,1st Half,"Muyumba strips the ball, passes to Almirón.  Philadelphia are able to recover",77,,,,
8/1/2026 20:22:33,42,1st Half,Edwards to Picault to Miranchuk.  Barely getting the passes together.  Philadelphia recover the ball,100,,,,
8/1/2026 20:22:57,42,1st Half,"Lukic gets a ball in the box.  Hits the ball into Damiani.  He turns and shoots, it goes out for a corner.",106,,,,
8/1/2026 20:23:46,43,1st Half,Philadelphia corner - it gets to Pierre who shoots.  The ball hits off the bar!  Picault clears.  Beautiful header.,115,,,,
8/1/2026 20:25:05,44,1st Half,"Jacob on the free kick, lazily hits uit up trying to find Almirón or Piccault.  Philadelphia easily get the ball back.",118,,,,
8/1/2026 20:26:02,45,1st Half,"5' stoppage - thought it would be longer.  oh, no hydration break",65,,,,
8/1/2026 20:26:53,46,1st Half,"Ball pinballs in atlanta's box.  Muyumba performs a spinning kick along the ground, and is able to clear.  Nice reaction to keep Philadelphia from getting control and a shot",173,,,,
8/1/2026 20:27:35,47,1st Half,WOW.  What a shot by Sullivan.  Hard low ball towards the back corner.  Hoyos is able to get down and kock it out,113,,,,
8/1/2026 20:28:22,48,1st Half,"Philadelphia gets an open ball along the post at the far side.  Header back in to goal.  It goes back across goal, and then bounces off the back post.",150,,Atlanta defenders working really hard.  Philly should be up by several goals,,
8/1/2026 20:29:44,49,1st Half,Reilly starting to gain some control in midfield,48,,,,
8/1/2026 20:30:31,50,1st Half,Miranchuk hard ball to Picault on the wing.  Too hard.  Picault can't keep it in.  He tells Miranchuk to play it a little easier.,129,,,,
8/1/2026 20:30:48,,Halftime,stop,4,,,,
8/1/2026 20:33:40,,Halftime,"Player Impressions:
Hoyos - Great game so far.  Has kept Atlanta in the game.  Saved a couple of shot from going in, including one from Báez.
Alonso - working hard along the backline to perform reactive clearances.
Mihaj - Got the 🟥.  Still unsure of what happened.  He should never have gone in with the clip from behind.  His mark was going away from Atlanta's goal.  poor decision
Jacob - he's being swarmed on his side.  Defending well enough to stop Philadelphia.  Not doing well to get the ball forward
Báez - not having a good game.  barely hanging on, on his side of the pitch.  can't combine with players up the pitch
Muyumba - his defending is better than movement going forward.  He is working hard on defense.  Has kept the ball from Philadelphia.  His influence ends up the pitch.
Reilly - largely quiet.  He's being afforded a bit of space late in the half, and is able to mvoe the ball around.
Almirón - Having an outstanding game so far.  
Miranchuk - Needs to be doing more.  Having trouble connecting his passes
Picault - Providing an outlet for Almirón and Miranchuk.  He's acting as the tip of the spear.  He can't get the final ball, but working hard.  Not great.  But good performance


For Philadelphia - Sullivan is amazing to watch.  Forgetting his age, he is the best player on the pitch",1314,,Sounds like Mihaj's clip was along the achilles,,
8/1/2026 20:47:59,,Start 2nd Half,start,5,,,,
8/1/2026 20:48:14,45,2nd Half,Blake comes up to the center circle before passing it long,58,,,,
8/1/2026 20:49:05,46,2nd Half,Iloski tries to receive a ball.  Jacob shields him off the ball,63,,,,
8/1/2026 20:49:21,46,2nd Half,Pierre header in the box.  Alonso clears,40,,,,
,,2nd Half,"Philly comes out of the half hot.  Pushing very hard, with all players.  They want the goal",,,,,
8/1/2026 20:50:27,47,2nd Half,Westfield to Sullivan on the right wing.  Almirón follows him all the way to the back line.,91,,,,
8/1/2026 20:50:45,48,2nd Half,"Corner comes in, Picault throws himself to clear",48,,,,
8/1/2026 20:51:37,49,2nd Half,Philadelphia with yet another corner.  Only a matter of time before the ball goes in,84,,,,
8/1/2026 20:51:49,49,2nd Half,"Corder to the back post.  Báez deflects it out.  He didn't know anything about it, but put himself in a good position",117,,,,
8/1/2026 20:53:05,50,2nd Half,Almirón has been playing deeper.  Miranchuk pushing up a bit higher when Atlanta has the ball,93,,,,
8/1/2026 20:53:33,51,2nd Half,All Atlanta players defending deep.  30 yards out is the line,61,,,,
8/1/2026 20:53:51,51,2nd Half,"Westfield and Báez get tangled up in the box.  Westfield goes down.  On replay, high ball is heading towards Báez.  he's moving backwards and it appears Westfield collides with him from behind.  Play will continue without a call.",229,,,,
8/1/2026 20:55:09,52,2nd Half,Jacob flying tot he right with a long tackle and clears the ball,64,,,,
8/1/2026 20:55:22,52,2nd Half,Edwards breaks up the next attacking wave,41,,,,
8/1/2026 20:56:12,53,2nd Half,"Miranchuk along the 18, passes up to Almirón.  He's knocked over immediately.  Harriel trips him up in transition and sees 🟨.  He kneed Almirón in the left thigh.  He'll have a dead leg.",187,,,,
8/1/2026 20:56:41,54,2nd Half,Almirón still on the ground,27,,,,
8/1/2026 20:58:12,55,2nd Half,"Strangely, Almirón didn't have to exit the pitch.",49,,"Ah - because of hte yellow, he doesn't have to leave",,
8/1/2026 20:58:53,56,2nd Half,"Philadelphia down the right, puts a ball across the 6.  Jacob gets there first and clears",89,,,,
8/1/2026 20:59:02,56,2nd Half,"Philadelphia subs:
2 subs",25,,,,
8/1/2026 20:59:47,57,2nd Half,Ball chipped into the Atlanta box.  Hoyos collects.,51,,,,
8/1/2026 21:00:20,57,2nd Half,Reilly and Muyumba pressing midfield targets.  Then immediately retreating.,75,,,,
8/1/2026 21:00:27,57,2nd Half,Hoyos collects a high cross into the box,40,,,,
8/1/2026 21:00:54,58,2nd Half,Hoyos holds the ball too long.  A corner kick is awarded,56,,,,
8/1/2026 21:01:12,58,2nd Half,Corner comes in.  Wagner there and heads well over.  Atlanta very lucky,71,,,,
8/1/2026 21:01:28,58,2nd Half,Hoyos is arguing with the Ref.  Chapman is hot.,47,,,,
8/1/2026 21:02:06,59,2nd Half,Hoyos received a 🟨.  Probably for dissent on the last play.,60,,,,
8/1/2026 21:03:04,60,2nd Half,All Atlanta players between 15 and 25 yards.,44,,,,
8/1/2026 21:03:37,61,2nd Half,Reilly steals the ball along the 18 and clears.  But Philadelphia get it back quickly,85,,,,
8/1/2026 21:04:17,61,2nd Half,Miranchuk great work rate to dribble the ball in circles and is able to pass it up to the right wing.,101,,,,
8/1/2026 21:05:04,62,2nd Half,Philadelphia drives another ball into the box.  Hoyos collects,62,,,,
8/1/2026 21:05:48,63,2nd Half,Pierre with a long range shot.  well over.,42,,Philly cannot get the ball on target.  Altanta defense doing well to frustrate them,,
8/1/2026 21:06:44,64,2nd Half,Alonso long ball up high to Picault.  he passes to Reilly who is knocked down hard.  Ref plays advantage.,105,,,,
8/1/2026 21:07:26,64,2nd Half,"Atlanta have generated an attack.  Great team passing.  Almirón ends the terrific sequence with a cross along the 6.  Picault attacking.  It's knocked out for a corner.
There were probably 6 different Atlanta players who touched the ball.",238,,,,
8/1/2026 21:08:37,66,2nd Half,"Muyumba to Alonso, to Muyumba.  He drives forward.  Long curling shot beats the keeper along the right post!  No idea what opening Muyumba saw.  fantastic shot",159,Atlanta 2-0,,,
8/1/2026 21:09:41,67,2nd Half,The team celebrate with the bench and coaches,45,,,,
8/1/2026 21:10:48,68,2nd Half,"Philadelphia ball into the box.  Jacob running twoards it.  Damiani clips him from behind in a dangerous play.  He sees 🟨.  Jacob up immediately and chargest at Damiani.
Jacob then goes back down to receive treatment.
Damiani was absolutely trying to foul Jacob.",263,,,,
8/1/2026 21:12:05,69,2nd Half,Philadelphia long ball over the top into the box.  Hoyos collects,65,,,,
8/1/2026 21:12:18,69,2nd Half,Picault has the ball but surrounded by 3 Philadelphia players,61,,,,
8/1/2026 21:12:43,70,2nd Half,Philadelphia prepping 2 more subs,33,,,,
8/1/2026 21:13:10,70,2nd Half,Philadelphia long range rocket.  Jean Jacques from outside the arc.  It ends up going high and wide right.  But not far,119,,,,
8/1/2026 21:13:17,70,2nd Half,Philadelphia 2 subs - changing a defender for a striker,55,,,,
8/1/2026 21:15:52,73,2nd Half,"Philadelphia with the ball on the left.  Ball is sent in, gets deflected by Edwards.  Iloski gets to it, and with a nifty outside of the foot flick, hits it past Hoyos for the goal",180,Atlanta 2 - 1,,,
8/1/2026 21:16:56,74,2nd Half,Almirón backheels to Picault.  The two are surrounded by 4 Philadelphia players.,80,,,,
8/1/2026 21:17:58,75,2nd Half,Philadelphia keep sending high balls into the box.  Atlanta having more trouble clearing it.  Philadelphia looking more dangerous,129,,,,
8/1/2026 21:18:29,76,2nd Half,"Reilly with a bad header, straight to Philadelphia at the center circle.",72,,,,
8/1/2026 21:18:44,76,2nd Half,Bueno with a volley at the arc.  Hits it just wide right,56,,,,
8/1/2026 21:19:12,76,2nd Half,Atlanta backline struggling now.  Visibly tired in thought and body.,68,,,,
8/1/2026 21:19:51,77,2nd Half,"Philadelphia shot/cross into the box.  Hoyos tries to grab, but it bounces it front of him.  He's able to grab it before Philadelphia can reach it.",147,,,,
8/1/2026 21:20:06,77,2nd Half,Atlanta prepping subs,21,,,,
8/1/2026 21:20:36,78,2nd Half,"a80 steals a ball and runs up pitch.  He's surrounded, and tripped for a foul",77,,,,
8/1/2026 21:20:51,78,2nd Half,"Atlants subs:
on:  Brennan, Gregersen
off:  Picault, Jacob",58,,,,
8/1/2026 21:21:37,79,2nd Half,Almirón on the free kick.  Into the box.  Gregersen heads it just over.  Oh so close,84,,flag came up afterwards,,
8/1/2026 21:22:24,79,2nd Half,Iloski and Gregersen duel for a ball in the box.  Gregersen wins it,67,,,,
8/1/2026 21:23:06,80,2nd Half,Philadelphia ball down the right for Sullivan.  Báez slides and strips him of the ball,86,,,,
8/1/2026 21:23:28,80,2nd Half,Sullivan with a volley and rocket of a shot to the back post.  Hoyos with a diving 1 handed safe,96,,,,
8/1/2026 21:24:25,81,2nd Half,Ball pinballing around the altanta box.  Atlanta cannot touch the ball.  It's knocked out for a corner,102,,,,
